x,y,nothing
33.35785, -112.07322, 
33.35773, -112.07319, 
33.35762, -112.07316, 
33.35751, -112.07312, 
33.35740, -112.07308, 
33.35729, -112.07305, 
33.35717, -112.07301, 
33.35707, -112.07296, 
33.35696, -112.07290, 
33.35686, -112.07285, 
33.35676, -112.07279, 
33.35668, -112.07271, 
33.35657, -112.07265, 
33.35648, -112.07260, 
33.35638, -112.07255, 
33.35629, -112.07249, 
33.35620, -112.07243, 
33.35612, -112.07238, 
33.35603, -112.07233, 
33.35595, -112.07227, 
33.35587, -112.07220, 
33.35578, -112.07214, 
33.35570, -112.07208, 
33.35561, -112.07201, 
33.35553, -112.07194, 
33.35543, -112.07189, 
33.35534, -112.07184, 
33.35525, -112.07179, 
33.35517, -112.07175, 
33.35508, -112.07175, 
33.35499, -112.07177, 
33.35491, -112.07180, 
33.35483, -112.07186, 
33.35475, -112.07193, 
33.35469, -112.07201, 
33.35464, -112.07210, 
33.35458, -112.07223, 
33.35454, -112.07234, 
33.35450, -112.07247, 
33.35446, -112.07259, 
33.35441, -112.07269, 
33.35437, -112.07280, 
33.35433, -112.07291, 
33.35428, -112.07301, 
33.35424, -112.07310, 
33.35419, -112.07322, 
33.35417, -112.07332, 
33.35413, -112.07341, 
33.35408, -112.07350, 
33.35404, -112.07364, 
33.35400, -112.07373, 
33.35396, -112.07384, 
33.35393, -112.07393, 
33.35390, -112.07402, 
33.35386, -112.07412, 
33.35383, -112.07421, 
33.35379, -112.07434, 
33.35373, -112.07446, 
33.35370, -112.07454, 
33.35365, -112.07467, 
33.35361, -112.07479, 
33.35357, -112.07494, 
33.35354, -112.07503, 
33.35351, -112.07513, 
33.35348, -112.07522, 
33.35343, -112.07536, 
33.35339, -112.07544, 
33.35333, -112.07556, 
33.35327, -112.07569, 
33.35323, -112.07577, 
33.35318, -112.07585, 
33.35311, -112.07596, 
33.35306, -112.07605, 
33.35302, -112.07613, 
33.35297, -112.07621, 
33.35292, -112.07629, 
33.35288, -112.07638, 
33.35281, -112.07650, 
33.35275, -112.07658, 
33.35270, -112.07671, 
33.35263, -112.07682, 
33.35256, -112.07693, 
33.35249, -112.07704, 
33.35241, -112.07714, 
33.35235, -112.07721, 
33.35229, -112.07729, 
33.35223, -112.07737, 
33.35216, -112.07744, 
33.35210, -112.07751, 
33.35203, -112.07758, 
33.35196, -112.07765, 
33.35189, -112.07773, 
33.35182, -112.07781, 
33.35176, -112.07788, 
33.35169, -112.07796, 
33.35162, -112.07804, 
33.35155, -112.07812, 
33.35149, -112.07819, 
33.35143, -112.07827, 
33.35137, -112.07835, 
33.35130, -112.07842, 
33.35122, -112.07848, 
33.35115, -112.07856, 
33.35108, -112.07864, 
33.35100, -112.07872, 
33.35092, -112.07879, 
33.35086, -112.07885, 
33.35079, -112.07891, 
